title,mal_id
Sword Art Online,11757
Shingeki no Kyojin,16498
Fullmetal Alchemist: Brotherhood,5114
Code Geass: Hangyaku no Lelouch,1575
Angel Beats!,6547
Naruto,20
Mirai Nikki (TV),10620
Bleach,269
Elfen Lied,226
Fullmetal Alchemist,121
Tokyo Ghoul,22319
Fairy Tail,6702
Soul Eater,3588
Ao no Exorcist,9919
Code Geass: Hangyaku no Lelouch R2,2904
Tengen Toppa Gurren Lagann,2001
Durarara!!,6746
Highschool of the Dead,8074
Naruto: Shippuuden,1735
Sword Art Online II,21881
One Punch Man,30276
One Piece,21
Kill la Kill,18679
Psycho-Pass,13601
Noragami,20507
Cowboy Bebop,1
Akame ga Kill!,22199
Neon Genesis Evangelion,30
Guilty Crown,10793
Deadman Wonderland,6880
Fate/Zero,10087
Darker than Black: Kuro no Keiyakusha,2025
Kuroshitsuji,4898
Kiseijuu: Sei no Kakuritsu,22535
Hunter x Hunter (2011),11061
Tokyo Ghoul √A,27899
Samurai Champloo,205
Log Horizon,17265
Fate/stay night,356
Dragon Ball Z,813
Baccano!,2251
Zero no Tsukaima,1195
Fate/Zero 2nd Season,11741
D.Gray-man,1482
Mononoke Hime,164
Gintama,918
Black Lagoon,889
Btooom!,14345
Accel World,11759
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,28121
Claymore,1818
Black Bullet,20787
Toaru Majutsu no Index,4654
Nanatsu no Taizai,23755
Hellsing,270
Magi: The Labyrinth of Magic,14513
FLCL,227
Owari no Seraph,26243
Shakugan no Shana,355
Kore wa Zombie Desu ka?,8841
K,14467
Ansatsu Kyoushitsu (TV),24833
Hellsing Ultimate,777
Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,16592
Trigun,6
InuYasha,249
Noragami Aragoto,30503
Higashi no Eden,5630
High School DxD New,15451
Full Metal Panic!,71
Katekyo Hitman Reborn!,1604
Fate/stay night: Unlimited Blade Works,22297
Zetsuen no Tempest,14075
IS: Infinite Stratos,9041
Boku no Hero Academia,31964
Fairy Tail (2014),22043
Aldnoah.Zero,22729
Koutetsujou no Kabaneri,28623
Magi: The Kingdom of Magic,18115
Blood Lad,11633
Zero no Tsukaima: Futatsuki no Kishi,1840
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",28907
Kuroshitsuji II,6707
Toaru Kagaku no Railgun,6213
Overlord,29803
Pokemon,527
Dragon Ball GT,225
Strike the Blood,18277
Psycho-Pass 2,23281
Darker than Black: Ryuusei no Gemini,6573
Berserk,33
Rurouni Kenshin: Meiji Kenkaku Romantan,45
Ghost in the Shell,43
Beelzebub,9513
Akira,47
Kekkai Sensen,24439
Rokka no Yuusha,28497
Log Horizon 2nd Season,23321
Zero no Tsukaima: Princesses no Rondo,3712
Blood+,150
title,mal_id
Sword Art Online,11757
Shingeki no Kyojin,16498
Fullmetal Alchemist: Brotherhood,5114
Code Geass: Hangyaku no Lelouch,1575
Angel Beats!,6547
Naruto,20
Mirai Nikki (TV),10620
Bleach,269
Elfen Lied,226
Fullmetal Alchemist,121
Tokyo Ghoul,22319
Fairy Tail,6702
Soul Eater,3588
Ao no Exorcist,9919
Code Geass: Hangyaku no Lelouch R2,2904
Tengen Toppa Gurren Lagann,2001
Durarara!!,6746
Highschool of the Dead,8074
Naruto: Shippuuden,1735
Sword Art Online II,21881
One Punch Man,30276
One Piece,21
Kill la Kill,18679
Psycho-Pass,13601
Noragami,20507
